Product name,Positioning,Form,Product Group,# Trials (Master),Poultry,Ruminants,Swine,Aquaculture,Bee,Primary Main Challenge,Secondary Main Challenges,Specific Challenges (from merged master),Core Benefit,Non-Focus Benefits,Website Solution Labels,Website Product URL,Field-Trial Challenge Tags,Field-Trial Species Tags,Mapping Confidence,Review / Validation Note
Mineral Forte,Entry,LIQUID,Farm,0,Yes,,,,,Mineral Deficiency & Calcium Balance,Leg Problems & Lameness · Eggshell & Egg Quality · Reproductive Performance,Mineral deficiency · High production demand · Poor mineral status,Broad mineral supplementation · Mineral-balance support,Fertility · Bone health · Egg quality · Stress support,Vitamin/Mineral/Amino Acids,https://xvetgermany.com/product/mineral-forte,,,High,
Pro-Start,Entry,LIQUID,Farm,1,,,Yes,,,Early-Life & Young-Animal Support,Gut Health & Digestion · Mortality & Livability · Growth & Feed Efficiency,Weak newborn piglets · Poor colostrum intake · Early-life stress,Newborn-piglet support · Vitality · Colostrum support,Gut development · Microbiota · Weight gain · Weaning survival,Gut Health · Early Care,https://xvetgermany.com/product/pro-start,antibiotic-reduction · calf-piglet-start · gut-health · mortality,swine,High,
Globiotic,Entry,POWDER,Feed,1,,Yes,,,,Early-Life & Young-Animal Support,Gut Health & Digestion · Immunity Support · Mortality & Livability · Growth & Feed Efficiency · Antibiotic Reduction / NAGP,Early-life gut instability · Weaning stress · Poor intestinal development,Early gut protection · Microbiota establishment · Intestinal support,Immunity · Nutrient absorption · Weight gain · Livability,Early Care,https://xvetgermany.com/product/globiotic,calf-piglet-start · fcr-weight-gain · gut-health,ruminant,High,
TanniFit Plus,Entry,LIQUID,Health,,,,Yes,,,Early-Life & Young-Animal Support,Gut Health & Digestion · Feed Intake & Appetite,Young-animal intestinal disturbance · Digestive stress,Gut protection · Digestive-function support · Young-animal intestinal support,Appetite · Microbial balance · Inflammation support,Gut Health · Early Care,https://xvetgermany.com/product/tannifit-plus,antibiotic-reduction · calf-piglet-start · gut-health · mortality,swine,High,
TanniFit Plus Dry,Entry,WSP,Health,,,Yes,,,,Gut Health & Digestion,Early-Life & Young-Animal Support · Feed Intake & Appetite,Intestinal disturbance · Loose droppings · Young-animal digestive stress,Gut protection · Digestive support · Intestinal-function support,Appetite · Microbial-balance support · Antioxidant support,Gut Health,https://xvetgermany.com/product/tannifit-plus-dry,calf-piglet-start · gut-health,ruminant,High,
Vital-X,Entry,LIQUID,Farm,,Yes,Yes,,,,Vitamin & Nutrient Deficiency,Stress & Recovery · Immunity Support · Reproductive Performance · Feed Intake & Appetite,Vitamin/amino-acid deficiency · Stress · General performance decline,Vitamin + amino-acid supplementation · Nutritional support,Immunity · Fertility · Appetite · Stress resistance,,,,,Medium,Current XVET website detail page was not verified in this review; mapping relies on merged Core Benefit and Non-Focus Benefits.
Zincotin,Entry,LIQUID,Health,,Yes,,,,,"Skin, Hoof & Feather Quality",Reproductive Performance · Immunity Support · Vitamin & Nutrient Deficiency,Zinc deficiency · Poor skin/hoof/feather quality · Fertility/immunity pressure,Organic-zinc support · Skin/hoof/feather integrity · Fertility/immunity support,Hatchability · Bone health · Appetite · Antioxidant support,Immunity · Fertility · Skin Quality,https://xvetgermany.com/product/zincotin,carcass-quality · egg-performance · eggshell-quality · fcr-weight-gain · gut-health · leg-problems,broiler,High,
Vitamin AD3ECK,Entry,LIQUID,Farm,,Yes,Yes,,,,Vitamin & Nutrient Deficiency,Reproductive Performance · Immunity Support · Growth & Feed Efficiency,Vitamin deficiency · Growth/reproductive stress,Vitamin A/D3/E supplementation · Nutritional support,Fertility · Immunity · Growth · Hatchability,Vitamin/Mineral/Amino Acids (mapped to current Vitamin AD3E page),https://xvetgermany.com/product/vitamin-ad3e,,,Medium,Merged name differs from current website page Vitamin AD3E; confirm whether AD3ECK is a separate/current formulation.
X-Cid Plus,Entry,LIQUID,Farm,,Yes,,Yes,,,Pathogen Pressure,,High water pH · Poor water hygiene · Microbial pressure in water,Water acidification · pH management · Water-hygiene support,Chlorination efficiency · Disinfection support,Acidifiers · Pathogen Pressure,https://xvetgermany.com/product/x-cid-plus,,,High,Primary challenge revised: high water pH remains a specific problem; Acidifier is the solution type and Pathogen Pressure is the Main Challenge.
Smooth Pro (Calm Me),,LIQUID,Farm ,,Yes,Yes,Yes,,,Carcass Quality & Physical Damage,"Stress & Recovery · Skin, Hoof & Feather Quality · Mortality & Livability",Transport stress · Harvesting stress · Scratches/bruising,Calming · Carcass-quality protection · Reduced excessive movement,Skin quality · Energy saving · Lower physical damage,Carcass Quality (current page name: Smooth Pro),https://xvetgermany.com/product/smooth-pro,,,High,Current website listing routes Calm Me to Smooth Pro; mapped to Carcass Quality & Physical Damage rather than generic Stress & Recovery.
Turbo Grow,,POWDER,Feed,,Yes,Yes,Yes,,,Growth & Feed Efficiency,Gut Health & Digestion · Antibiotic Reduction / NAGP · Mycotoxin Pressure · Feed Preservation & Mould · Immunity Support,Poor growth · Poor FCR · Low feed efficiency,Growth performance · Feed efficiency · NAGP support,Gut health · Immunity · Feed quality · Litter quality,Gut Health · NAGP,https://xvetgermany.com/product/turbo-grow,antibiotic-reduction · calf-piglet-start · carcass-quality · egg-performance · fcr-weight-gain · gut-health · milk-yield · mortality · mycotoxins · vaccine-reaction,broiler · layer · ruminant · swine,High,
Bacflora® BR,,POWDER,Feed,,Yes,,Yes,,,Gut Health & Digestion,Antibiotic Reduction / NAGP · Growth & Feed Efficiency · Feed Intake & Appetite,Gut imbalance · Poor intestinal flora · Performance loss,Probiotic/synbiotic gut support · Microflora balance,Performance · Liver support · NAGP positioning,Gut Health · NAGP,https://xvetgermany.com/product/bacflora-br,,,High,
GrowAqua,,POWDER,Farm,,,,,Yes,,Gut Health & Digestion,Growth & Feed Efficiency · Antibiotic Reduction / NAGP,Aquaculture gut problems · Poor growth · Microflora imbalance,Aquaculture gut health · Probiotic support · Growth support,Feed efficiency · Microbial balance · NAGP,Gut Health · NAGP,https://xvetgermany.com/product/growaqua,,,High,
MilQ,,POWDER,Feed,,,Yes,,,,Milk & Lactation Performance,Liver & Metabolic Health · Gut Health & Digestion · Immunity Support,Low milk production · Poor rumen function · Metabolic stress,Milk-performance support · Rumen support · Lactation support,Liver support · Energy metabolism · Vitamin-B support,Liver Support · Immunity · Lactation,https://xvetgermany.com/product/milq,,,High,
Aromax® Dry,,POWDER,Feed,,Yes,Yes,Yes,,,Respiratory Challenges,Feed Intake & Appetite · Growth & Feed Efficiency · Gut Health & Digestion · Early-Life & Young-Animal Support,Respiratory challenge · Low feed intake linked to respiratory stress,Respiratory support · Appetite/feed-intake support,Digestion · FCR · Weight gain · Cold/humidity stress,Respiratory System Support · Feed Intake,https://xvetgermany.com/product/aromax-dry,calf-piglet-start · egg-performance · fcr-weight-gain · gut-health · mortality · respiratory-pressure,layer · ruminant · swine,High,
Calcium Top,,LIQUID,Health,,,Yes,,,,Mineral Deficiency & Calcium Balance,Stress & Recovery · Milk & Lactation Performance,Milk fever · Hypocalcaemia · Calcium deficiency,Rapid calcium support · Calcium replenishment,Recovery · Mineral metabolism,Quick Recovery,https://xvetgermany.com/product/calcium-top,calf-piglet-start · milk-yield,ruminant,High,
Ovostrong®,,POWDER,Feed,,Yes,,,,,Eggshell & Egg Quality,Egg Production & Performance · Mineral Deficiency & Calcium Balance · Reproductive Performance · Gut Health & Digestion,Poor eggshell quality · Weak shells · Mineral-utilisation problems,Eggshell strength · Calcium utilisation · Layer mineral support,Phosphorus utilisation · Gut absorption · Mineral efficiency,Egg Performance,https://xvetgermany.com/product/ovostrong,egg-performance · eggshell-quality · mortality,layer,High,
Vital Bee,,LIQUID,Farm,,,,,,Yes,Vitamin & Nutrient Deficiency,Feed Intake & Appetite · Growth & Feed Efficiency · Stress & Recovery,Poor bee nutrition · Low colony productivity · Brooding demand,Bee nutrition · Protein/amino-acid/vitamin support · Brooding support,Energy · Feed attractiveness · Environmental-stress support,Vitamin/Mineral/Amino Acids,https://xvetgermany.com/product/vital-bee,,,High,
Vitaquamix,,POWDER,Feed,,,,,Yes,,Vitamin & Nutrient Deficiency,Growth & Feed Efficiency · Stress & Recovery · Immunity Support · Mortality & Livability,Aquaculture nutritional deficiency · Poor growth · Stress,Aquaculture vitamin/mineral/amino-acid support · Growth support,Immunity · Livability · Uniformity · Stress resistance,Vitamin/Mineral/Amino Acids,https://xvetgermany.com/product/vitaquamix,,,High,
