trial_id,product_ids,display_product,historical_product_name,species_tags,challenge_tags,country,year,sample_size,duration,dosage,comparator,evidence_type,evidence_strength,headline,customer_facing_summary,result_index,result_metric,control_value,treatment_value,unit,effect_or_note,source_pdf_pages,source_document
aromax-broiler-iraq-newcastle-2017,aromax,Aromax,,broiler,respiratory-pressure|vaccine-reaction|fcr-weight-gain,Iraq,2017,210,35 days,0.2 mL/L water and/or 2 mL/L spray,,published-study,5,Newcastle-vaccination respiratory and immunity study,"Aromax groups showed healthier air sacs, stronger local/humoral immune response and higher performance.",1,Air-sac lesion score,3,0.33,score,p<0.05,14|15,Science in the Field Booklet.pdf
aromax-broiler-iraq-newcastle-2017,aromax,Aromax,,broiler,respiratory-pressure|vaccine-reaction|fcr-weight-gain,Iraq,2017,210,35 days,0.2 mL/L water and/or 2 mL/L spray,,published-study,5,Newcastle-vaccination respiratory and immunity study,"Aromax groups showed healthier air sacs, stronger local/humoral immune response and higher performance.",2,IgA,,,,Significantly higher,14|15,Science in the Field Booklet.pdf
aromax-broiler-iraq-newcastle-2017,aromax,Aromax,,broiler,respiratory-pressure|vaccine-reaction|fcr-weight-gain,Iraq,2017,210,35 days,0.2 mL/L water and/or 2 mL/L spray,,published-study,5,Newcastle-vaccination respiratory and immunity study,"Aromax groups showed healthier air sacs, stronger local/humoral immune response and higher performance.",3,NDV titre,,,,Significantly higher in G3,14|15,Science in the Field Booklet.pdf
aromax-broiler-iraq-newcastle-2017,aromax,Aromax,,broiler,respiratory-pressure|vaccine-reaction|fcr-weight-gain,Iraq,2017,210,35 days,0.2 mL/L water and/or 2 mL/L spray,,published-study,5,Newcastle-vaccination respiratory and immunity study,"Aromax groups showed healthier air sacs, stronger local/humoral immune response and higher performance.",4,AST/ALT,,,,Significantly lower in G3/G4,14|15,Science in the Field Booklet.pdf
aromax-broiler-iraq-ibv-2019,aromax,Aromax,,broiler,respiratory-pressure|vaccine-reaction,Iraq,2019,210,35 days,0.2 mL/L water daily and/or 2 mL/L spray twice weekly,,controlled-trial,4,IBV vaccine-response trial,Aromax improved the antibody response to infectious bronchitis vaccination.,1,IBV antibody titre,,,,G4 highest significant response at days 25 and 35; P<0.05,16|17,Science in the Field Booklet.pdf
aromax-broiler-thailand-2016,aromax,Aromax,,broiler,fcr-weight-gain|gut-health,Thailand,2016,600,42 days,1 mL/10 L water,,academic-study,5,"Broiler growth, FCR and villus-health trial",Aromax improved late-cycle body-weight gain and FCR and increased jejunal villus height.,1,BW gain days 36-42,,,%,+11.9%,18|19,Science in the Field Booklet.pdf
aromax-broiler-thailand-2016,aromax,Aromax,,broiler,fcr-weight-gain|gut-health,Thailand,2016,600,42 days,1 mL/10 L water,,academic-study,5,"Broiler growth, FCR and villus-health trial",Aromax improved late-cycle body-weight gain and FCR and increased jejunal villus height.,2,FCR days 36-42,,,%,-6.7%,18|19,Science in the Field Booklet.pdf
aromax-broiler-thailand-2016,aromax,Aromax,,broiler,fcr-weight-gain|gut-health,Thailand,2016,600,42 days,1 mL/10 L water,,academic-study,5,"Broiler growth, FCR and villus-health trial",Aromax improved late-cycle body-weight gain and FCR and increased jejunal villus height.,3,Villus height day 15,900,960,µm,,18|19,Science in the Field Booklet.pdf
aromax-broiler-thailand-2016,aromax,Aromax,,broiler,fcr-weight-gain|gut-health,Thailand,2016,600,42 days,1 mL/10 L water,,academic-study,5,"Broiler growth, FCR and villus-health trial",Aromax improved late-cycle body-weight gain and FCR and increased jejunal villus height.,4,Villus height day 21,950,970,µm,,18|19,Science in the Field Booklet.pdf
aromax-dry-calf-china-2022,aromax-dry,Aromax Dry,,ruminant,respiratory-pressure|gut-health|calf-piglet-start|mortality,China,2022,359,Oct 2021-Mar 2022,,,historical-control-field-trial,3,Calf disease-incidence field trial,Aromax Dry was associated with lower overall digestive and respiratory disease incidence than the historical control period.,1,Disease incidence,36.45,20,%,-45%,20|21,Science in the Field Booklet.pdf
aromax-dry-calf-china-2022,aromax-dry,Aromax Dry,,ruminant,respiratory-pressure|gut-health|calf-piglet-start|mortality,China,2022,359,Oct 2021-Mar 2022,,,historical-control-field-trial,3,Calf disease-incidence field trial,Aromax Dry was associated with lower overall digestive and respiratory disease incidence than the historical control period.,2,Affected calves,78,29,head,,20|21,Science in the Field Booklet.pdf
aromax-dry-layer-peru-2024,aromax-dry,Aromax Dry,,layer,egg-performance|fcr-weight-gain,Peru,2024,34615,8 weeks,250 or 350 g/ton feed,,field-trial,5,"34,615-layer egg-production and ROI trial","Aromax Dry increased egg production and improved feed efficiency per 10,000 eggs, with positive ROI.",1,Egg production 250 g/t,83.1,84.91,%,+2.18%,22|23,Science in the Field Booklet.pdf
aromax-dry-layer-peru-2024,aromax-dry,Aromax Dry,,layer,egg-performance|fcr-weight-gain,Peru,2024,34615,8 weeks,250 or 350 g/ton feed,,field-trial,5,"34,615-layer egg-production and ROI trial","Aromax Dry increased egg production and improved feed efficiency per 10,000 eggs, with positive ROI.",2,Egg production 350 g/t,83.1,86.4,%,+3.97%,22|23,Science in the Field Booklet.pdf
aromax-dry-layer-peru-2024,aromax-dry,Aromax Dry,,layer,egg-performance|fcr-weight-gain,Peru,2024,34615,8 weeks,250 or 350 g/ton feed,,field-trial,5,"34,615-layer egg-production and ROI trial","Aromax Dry increased egg production and improved feed efficiency per 10,000 eggs, with positive ROI.",3,"Feed/10,000 eggs 250",1420,1410,kg,,22|23,Science in the Field Booklet.pdf
aromax-dry-layer-peru-2024,aromax-dry,Aromax Dry,,layer,egg-performance|fcr-weight-gain,Peru,2024,34615,8 weeks,250 or 350 g/ton feed,,field-trial,5,"34,615-layer egg-production and ROI trial","Aromax Dry increased egg production and improved feed efficiency per 10,000 eggs, with positive ROI.",4,"Feed/10,000 eggs 350",1420,1400,kg,,22|23,Science in the Field Booklet.pdf
aromax-dry-layer-peru-2024,aromax-dry,Aromax Dry,,layer,egg-performance|fcr-weight-gain,Peru,2024,34615,8 weeks,250 or 350 g/ton feed,,field-trial,5,"34,615-layer egg-production and ROI trial","Aromax Dry increased egg production and improved feed efficiency per 10,000 eggs, with positive ROI.",5,ROI ratio 250,,1:2.8,,,22|23,Science in the Field Booklet.pdf
aromax-dry-layer-peru-2024,aromax-dry,Aromax Dry,,layer,egg-performance|fcr-weight-gain,Peru,2024,34615,8 weeks,250 or 350 g/ton feed,,field-trial,5,"34,615-layer egg-production and ROI trial","Aromax Dry increased egg production and improved feed efficiency per 10,000 eggs, with positive ROI.",6,ROI ratio 350,,1:4.63,,,22|23,Science in the Field Booklet.pdf
aromax-dry-piglet-brazil-2022,aromax-dry,Aromax Dry,,swine,respiratory-pressure|gut-health|mortality|fcr-weight-gain|calf-piglet-start,Brazil,2022,12042,45 days,250 g/ton feed,,field-trial,5,"12,042-piglet FCR and mortality trial",Aromax Dry improved FCR and reduced mortality versus control.,1,FCR,,,ratio,-7.1%; -0.12 points,24|25,Science in the Field Booklet.pdf
aromax-dry-piglet-brazil-2022,aromax-dry,Aromax Dry,,swine,respiratory-pressure|gut-health|mortality|fcr-weight-gain|calf-piglet-start,Brazil,2022,12042,45 days,250 g/ton feed,,field-trial,5,"12,042-piglet FCR and mortality trial",Aromax Dry improved FCR and reduced mortality versus control.,2,Mortality,3.37,2.73,%,-19%,24|25,Science in the Field Booklet.pdf
cal-d-phos-layer-peru-2014,cal-d-phos,Cal D Phos,,layer,eggshell-quality|mortality|egg-performance,Peru,2014,,,,,field-trial,4,"Layer eggshell, mortality and prolapse trial","Cal D Phos reduced broken eggs, mortality and prolapse compared with a competitor.",1,Broken eggs,1.53,1.39,%,-9.15%,26|27,Science in the Field Booklet.pdf
cal-d-phos-layer-peru-2014,cal-d-phos,Cal D Phos,,layer,eggshell-quality|mortality|egg-performance,Peru,2014,,,,,field-trial,4,"Layer eggshell, mortality and prolapse trial","Cal D Phos reduced broken eggs, mortality and prolapse compared with a competitor.",2,Mortality,1.302,0.804,%,-38.25%,26|27,Science in the Field Booklet.pdf
cal-d-phos-layer-peru-2014,cal-d-phos,Cal D Phos,,layer,eggshell-quality|mortality|egg-performance,Peru,2014,,,,,field-trial,4,"Layer eggshell, mortality and prolapse trial","Cal D Phos reduced broken eggs, mortality and prolapse compared with a competitor.",3,Prolapse,1.037,0.471,%,-54.58%,26|27,Science in the Field Booklet.pdf
cal-d-phos-layer-korea-2016,cal-d-phos,Cal D Phos,,layer,eggshell-quality,South Korea,2016,30000,,,,field-trial,4,"30,000-layer eggshell-thickness trial",Cal D Phos increased eggshell thickness in both tested houses.,1,House 1 shell thickness,0.48,0.59,mm,+22.92%,28|29,Science in the Field Booklet.pdf
cal-d-phos-layer-korea-2016,cal-d-phos,Cal D Phos,,layer,eggshell-quality,South Korea,2016,30000,,,,field-trial,4,"30,000-layer eggshell-thickness trial",Cal D Phos increased eggshell thickness in both tested houses.,2,House 2 shell thickness,0.53,0.66,mm,+24.53%,28|29,Science in the Field Booklet.pdf
calcium-top-cow-germany-2024,calcium-top,Calcium Top,,ruminant,milk-yield|calf-piglet-start,Germany,2024,6,7 days,0.5 L once within 24h post-calving,,small-field-trial,2,Post-calving milk-production trial,Cows receiving Calcium Top produced more milk on average during the seven-day observation.,1,Average milk production,,,%,+20.6%,30|31,Science in the Field Booklet.pdf
calcium-top-cow-germany-2024,calcium-top,Calcium Top,,ruminant,milk-yield|calf-piglet-start,Germany,2024,6,7 days,0.5 L once within 24h post-calving,,small-field-trial,2,Post-calving milk-production trial,Cows receiving Calcium Top produced more milk on average during the seven-day observation.,2,Average daily difference,,5.4,L/cow/day,,30|31,Science in the Field Booklet.pdf
calcium-top-cow-germany-2024,calcium-top,Calcium Top,,ruminant,milk-yield|calf-piglet-start,Germany,2024,6,7 days,0.5 L once within 24h post-calving,,small-field-trial,2,Post-calving milk-production trial,Cows receiving Calcium Top produced more milk on average during the seven-day observation.,3,Day 7 milk,34.3,40,L/cow/day,,30|31,Science in the Field Booklet.pdf
drymax-broiler-indonesia-2019,drymax,Drymax,,broiler,respiratory-pressure|water-quality|leg-problems,Indonesia,2019,50652,35 days,50 g/m² litter,,field-trial,4,Broiler litter and ammonia trial,Drymax improved litter quality and reduced ammonia compared with control.,1,Litter quality score,3.5,4.2,score,,32|33,Science in the Field Booklet.pdf
drymax-broiler-indonesia-2019,drymax,Drymax,,broiler,respiratory-pressure|water-quality|leg-problems,Indonesia,2019,50652,35 days,50 g/m² litter,,field-trial,4,Broiler litter and ammonia trial,Drymax improved litter quality and reduced ammonia compared with control.,2,Ammonia score,5.4,4.4,score,,32|33,Science in the Field Booklet.pdf
garvit-pro-shrimp-vietnam-2020,garvit-pro,GarVit Pro,,aquaculture,gut-health|mortality|fcr-weight-gain,Vietnam,2020,250000,Day 15-140,5 mL/kg feed daily,,historical-control-field-trial,3,"250,000-shrimp survival and FCR trial",GarVit Pro production achieved higher survival and slightly better FCR than the previous crop.,1,Survival,89,92,%,,34|35,Science in the Field Booklet.pdf
garvit-pro-shrimp-vietnam-2020,garvit-pro,GarVit Pro,,aquaculture,gut-health|mortality|fcr-weight-gain,Vietnam,2020,250000,Day 15-140,5 mL/kg feed daily,,historical-control-field-trial,3,"250,000-shrimp survival and FCR trial",GarVit Pro production achieved higher survival and slightly better FCR than the previous crop.,2,FCR,1.53,1.5,ratio,,34|35,Science in the Field Booklet.pdf
globiotic-calf-germany-2024-a,globiotic,Globiotic,,ruminant,calf-piglet-start|fcr-weight-gain|gut-health,Germany,2024,12,4 weeks,50 g/day in milk for 5 days,,small-field-trial,2,Young-calf ADG trial,Calves receiving Globiotic had higher average daily gain and finished heavier.,1,ADG,0.63,1.31,kg/day,,36|37,Science in the Field Booklet.pdf
globiotic-calf-germany-2024-a,globiotic,Globiotic,,ruminant,calf-piglet-start|fcr-weight-gain|gut-health,Germany,2024,12,4 weeks,50 g/day in milk for 5 days,,small-field-trial,2,Young-calf ADG trial,Calves receiving Globiotic had higher average daily gain and finished heavier.,2,Final weight,60,68,kg,,36|37,Science in the Field Booklet.pdf
globiotic-calf-germany-2024-a,globiotic,Globiotic,,ruminant,calf-piglet-start|fcr-weight-gain|gut-health,Germany,2024,12,4 weeks,50 g/day in milk for 5 days,,small-field-trial,2,Young-calf ADG trial,Calves receiving Globiotic had higher average daily gain and finished heavier.,3,Weight difference,,8,kg,,36|37,Science in the Field Booklet.pdf
globiotic-calf-germany-2024-b,globiotic,Globiotic,,ruminant,calf-piglet-start|fcr-weight-gain,Germany,2024,30,4 weeks,50 g/head/day,,small-controlled-trial,3,Replicated young-calf weight trial,"Across three replicates, Globiotic calves consistently finished heavier than controls.",1,Week-4 weight,64.5,66.5,kg,,38|39,Science in the Field Booklet.pdf
globiotic-calf-germany-2024-b,globiotic,Globiotic,,ruminant,calf-piglet-start|fcr-weight-gain,Germany,2024,30,4 weeks,50 g/head/day,,small-controlled-trial,3,Replicated young-calf weight trial,"Across three replicates, Globiotic calves consistently finished heavier than controls.",2,Replicate 2 gain,,21.9,kg,,38|39,Science in the Field Booklet.pdf
globiotic-calf-germany-2024-b,globiotic,Globiotic,,ruminant,calf-piglet-start|fcr-weight-gain,Germany,2024,30,4 weeks,50 g/head/day,,small-controlled-trial,3,Replicated young-calf weight trial,"Across three replicates, Globiotic calves consistently finished heavier than controls.",3,Replicate 3 gain,,21.5,kg,,38|39,Science in the Field Booklet.pdf
kokonill-broiler-sudan,kokonill,Kokonill,,broiler,fcr-weight-gain|mortality|gut-health,Sudan,,3000,14 days,1 mL/L final,,field-trial,4,Broiler growth and mortality trial,Kokonill-treated broilers had higher daily gain and lower mortality than control.,1,Mortality,3.6,2,%,,40|41,Science in the Field Booklet.pdf
kokonill-broiler-sudan,kokonill,Kokonill,,broiler,fcr-weight-gain|mortality|gut-health,Sudan,,3000,14 days,1 mL/L final,,field-trial,4,Broiler growth and mortality trial,Kokonill-treated broilers had higher daily gain and lower mortality than control.,2,Day-42 weight,1768,1828,g,,40|41,Science in the Field Booklet.pdf
kokonill-broiler-sudan,kokonill,Kokonill,,broiler,fcr-weight-gain|mortality|gut-health,Sudan,,3000,14 days,1 mL/L final,,field-trial,4,Broiler growth and mortality trial,Kokonill-treated broilers had higher daily gain and lower mortality than control.,3,Weight gain,786,861,g,,40|41,Science in the Field Booklet.pdf
kokonill-broiler-sudan,kokonill,Kokonill,,broiler,fcr-weight-gain|mortality|gut-health,Sudan,,3000,14 days,1 mL/L final,,field-trial,4,Broiler growth and mortality trial,Kokonill-treated broilers had higher daily gain and lower mortality than control.,4,ADG,56.1,61.5,g/day,,40|41,Science in the Field Booklet.pdf
metavolin-herbal-layer-philippines-2020,metavolin-herbal,Metavolin Herbal,,layer,egg-performance|liver-kidney-stress|eggshell-quality,Philippines,2020,71942,6 weeks,"1 L/1,000 L water",,field-trial,5,"71,942-layer pre-peak and peak trial","Metavolin Herbal improved laying rate, egg quality and Haugh Unit freshness measures.",1,End laying rate,,,%,+3.18% vs control; p≤0.05,42|43,Science in the Field Booklet.pdf
metavolin-herbal-layer-philippines-2020,metavolin-herbal,Metavolin Herbal,,layer,egg-performance|liver-kidney-stress|eggshell-quality,Philippines,2020,71942,6 weeks,"1 L/1,000 L water",,field-trial,5,"71,942-layer pre-peak and peak trial","Metavolin Herbal improved laying rate, egg quality and Haugh Unit freshness measures.",2,Haugh Unit day 35,,5.88,HU above control,p≤0.05,42|43,Science in the Field Booklet.pdf
metavolin-herbal-layer-philippines-2020,metavolin-herbal,Metavolin Herbal,,layer,egg-performance|liver-kidney-stress|eggshell-quality,Philippines,2020,71942,6 weeks,"1 L/1,000 L water",,field-trial,5,"71,942-layer pre-peak and peak trial","Metavolin Herbal improved laying rate, egg quality and Haugh Unit freshness measures.",3,Haugh Unit end,,3.11,HU above control,,42|43,Science in the Field Booklet.pdf
metavolin-herbal-layer-philippines-2020,metavolin-herbal,Metavolin Herbal,,layer,egg-performance|liver-kidney-stress|eggshell-quality,Philippines,2020,71942,6 weeks,"1 L/1,000 L water",,field-trial,5,"71,942-layer pre-peak and peak trial","Metavolin Herbal improved laying rate, egg quality and Haugh Unit freshness measures.",4,Cracked eggs,,,,Significantly lower,42|43,Science in the Field Booklet.pdf
mould-guard-diamond-spain-2025,mould-guard-diamond,Mould Guard Diamond,,broiler|layer|ruminant|swine|aquaculture,feed-storage-mould|mycotoxins,Spain,2025,,5-day in-vitro/feed simulation,,,laboratory-feed-trial,5,Fusarium and Aspergillus feed-contamination trials,Mould Guard Diamond strongly reduced Fusarium and Aspergillus fungal loads in contaminated feed.,1,Fusarium 500 g/t,212000,61000,spores/g,-71%,44|45,Science in the Field Booklet.pdf
mould-guard-diamond-spain-2025,mould-guard-diamond,Mould Guard Diamond,,broiler|layer|ruminant|swine|aquaculture,feed-storage-mould|mycotoxins,Spain,2025,,5-day in-vitro/feed simulation,,,laboratory-feed-trial,5,Fusarium and Aspergillus feed-contamination trials,Mould Guard Diamond strongly reduced Fusarium and Aspergillus fungal loads in contaminated feed.,2,"Fusarium 1,000 g/t",212000,12000,spores/g,-94%,44|45,Science in the Field Booklet.pdf
mould-guard-diamond-spain-2025,mould-guard-diamond,Mould Guard Diamond,,broiler|layer|ruminant|swine|aquaculture,feed-storage-mould|mycotoxins,Spain,2025,,5-day in-vitro/feed simulation,,,laboratory-feed-trial,5,Fusarium and Aspergillus feed-contamination trials,Mould Guard Diamond strongly reduced Fusarium and Aspergillus fungal loads in contaminated feed.,3,"Fusarium 2,000 g/t",212000,"<1,000",spores/g,>99%,44|45,Science in the Field Booklet.pdf
mould-guard-diamond-spain-2025,mould-guard-diamond,Mould Guard Diamond,,broiler|layer|ruminant|swine|aquaculture,feed-storage-mould|mycotoxins,Spain,2025,,5-day in-vitro/feed simulation,,,laboratory-feed-trial,5,Fusarium and Aspergillus feed-contamination trials,Mould Guard Diamond strongly reduced Fusarium and Aspergillus fungal loads in contaminated feed.,4,Total fungal load,400000,21000,spores/g,-94.75%,44|45,Science in the Field Booklet.pdf
mould-guard-diamond-spain-2025,mould-guard-diamond,Mould Guard Diamond,,broiler|layer|ruminant|swine|aquaculture,feed-storage-mould|mycotoxins,Spain,2025,,5-day in-vitro/feed simulation,,,laboratory-feed-trial,5,Fusarium and Aspergillus feed-contamination trials,Mould Guard Diamond strongly reduced Fusarium and Aspergillus fungal loads in contaminated feed.,5,Fusarium in feed,348000,15000,spores/g,-95.70%,44|45,Science in the Field Booklet.pdf
mould-guard-diamond-spain-2025,mould-guard-diamond,Mould Guard Diamond,,broiler|layer|ruminant|swine|aquaculture,feed-storage-mould|mycotoxins,Spain,2025,,5-day in-vitro/feed simulation,,,laboratory-feed-trial,5,Fusarium and Aspergillus feed-contamination trials,Mould Guard Diamond strongly reduced Fusarium and Aspergillus fungal loads in contaminated feed.,6,Aspergillus in feed,52000,6000,spores/g,-88.50%,44|45,Science in the Field Booklet.pdf
novosol-broiler-hungary-2019,novosol,Novosol,,broiler,gut-health|mortality|fcr-weight-gain|antibiotic-reduction,Hungary,2019,10260,42 days,,,field-trial,4,Broiler mortality and body-weight trial,A short Novosol application was followed by lower mortality and higher final body weight.,1,Final mortality,272,188,birds,-30%,46|47,Science in the Field Booklet.pdf
novosol-broiler-hungary-2019,novosol,Novosol,,broiler,gut-health|mortality|fcr-weight-gain|antibiotic-reduction,Hungary,2019,10260,42 days,,,field-trial,4,Broiler mortality and body-weight trial,A short Novosol application was followed by lower mortality and higher final body weight.,2,Final weight advantage,,360,g/bird,,46|47,Science in the Field Booklet.pdf
novosol-broiler-lithuania-2022,novosol,Novosol,,broiler,gut-health|mortality|fcr-weight-gain|antibiotic-reduction,Lithuania,2022,52979,41/43 days,,,field-trial,5,"52,979-broiler antibiotic-comparator trial","Compared with an amoxicillin-treated control, Novosol showed better performance and intestinal morphology.",1,Weight,1859,1954,g,,48|49,Science in the Field Booklet.pdf
