slug-id,Product name,Positioning,FORM,Category,#of trials,Poultry ,Ruminants,Swine,Main Challenge,Challenges,Core Benefit,Non-Focus Benefits,Tagline,Elevator,Description,Website benefits,Packaging,Website slug
mould-guard-diamond,Mould Guard Diamond,Entry,POWDER,Feed,0,TRUE,TRUE,TRUE,Feed Preservation & Mould,Mould growth · Feed spoilage · Feed-hygiene problems,Mould control · Feed preservation · Antifungal support,Bacterial control · Toxin-source reduction · Anti-caking,Activate the shield,"Mould Guard Diamond is a feed powder of citrus-seed extract with propionic, formic, acetic and sorbic acids plus an aluminium-silicate carrier, special for being less irritant than typical acid powders and combining fast acids with slow-release binding.","Mould Guard Diamond is a less irritant product than the majority of powder anti-fungal products based on organic acids. It is a powerful antifungal agent with a rich composition of citrus seed extract and organic acids with salts. Its propionic acid content is of especial importance. The suitable carrier acts like an anti-caking agent, making the product easy to handle, easy to mix and easy to pelletize.","Citrus seed extract potentiates the activity of organic acids, allowing less inclusion · Propionic, formic, acetic and sorbic acids help to decrease toxin sources in the raw material · The acidifying effect decreases bacterial and fungal colonization · Aluminum silicate absorbs and traps toxins by inactivating them · Fast action with acids, slow release for long term effect",10 kg and 25 kg craft bags,mould-guard-diamond
vitamin-e-se,Vitamin E+Se,Entry,LIQUID,Farm,,TRUE,FALSE,FALSE,Reproduction & Fertility,Reproductive stress · Oxidative stress · Vitamin E/selenium deficiency,Antioxidant support · Vitamin E + selenium supplementation · Fertility support,Egg quality · Laying performance · General broiler support,Reach outstanding production levels,"Vitamin E+Se is a liquid of fat-soluble vitamin E and selenium, special for pairing membrane-protecting vitamin E with selenium-dependent antioxidant and thyroid enzymes.","Vitamin E+Se contains fat-soluble vitamin E essential to animals because of its role in reducing free radicals, its action as an anti-toxic agent, and its effect on the formation and protection of cell membranes, positively influencing circulatory system and blood vessels. Selenium is important for thyroid metabolism, hence for animal growth, and essential for the proper functioning of anti-oxidative body mechanisms.","In broilers, helps to prevent ascites, death syndrome and encephalomalacia · In layers and breeders, it contributes to fertility, egg quality and laying performance","250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",vitamin-e-se
hepatisafe,Hepatisafe,Entry,LIQUID,Health,,TRUE,TRUE,TRUE,Liver & Metabolic Health,,Liver Support,Hepatic Protection,,"Hepatisafe is a liquid hepatic-support formula, special as dedicated liver-protection chemistry for metabolic and detox pressure.",,,,
mineral-forte,Mineral Forte,Entry,LIQUID,Farm,0,TRUE,FALSE,FALSE,"Bone, Leg & Mineral Health",Mineral deficiency · High production demand · Poor mineral status,Broad mineral supplementation · Mineral-balance support,Fertility · Bone health · Egg quality · Stress support,Supply what is essential,"Mineral Forte is a liquid broad-spectrum mineral supplement, special for covering the extra mineral demand of fast growth, peak lay and later ages in one farm-water mix.","Mineral s are essential for healthy livestock, therefore their deficiencies may result in retarded growth, poor performance, lack of energy, skeletal disorders, altered fertility and metabolism disturbances. The demand for Mineral s and other nutritional factors increase in periods of fast growth, high production periods such as peak of laying, and also in later ages.",Protect against stress conditions · Avoid fertility problems · Prevent bone and leg problems · Maintain egg quality and yield · Support in high production periods,"250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",mineral-forte
pro-start,Pro-Start,Entry,LIQUID,Farm,1,FALSE,FALSE,TRUE,Early-Life & Young-Animal Support,Weak newborn piglets · Poor colostrum intake · Early-life stress,Newborn-piglet support · Vitality · Colostrum support,Gut development · Microbiota · Weight gain · Weaning survival,Powerful start for your piglets,"Pro-Start is a liquid of high-dose probiotic bacteria, vitamins, immunoglobulin-rich egg powder and plant medium-chain fatty acids, special for pushing newborn piglets to colostrum while seeding gut flora and mucosa.","One of the most important factors that determines piglet livability and performance is the time that it takes them to start sucking after being born. Another factor is the quantity of colostrum that they receive in the first 24 hours. Pro-Start is a combination of high-dosed probiotic bacteria, vitamins, immunoglobulin-rich egg powder and plant based medium-chain fatty acids. They act together ensuring the piglets recover quickly from the stress of birth, moving faster towards the mother to start sucking colostrum and properly developing a balanced gut microbiome and intestinal mucosa.",Maximum intake of nutritional factors · Optimized weight gain · Proper development of the digestive tract · Better protection via passive immunity · Increased number of live piglets at weaning,250 ml and 500 ml in special pumping application bottles (1 pump per each 6 bottles),pro-start
globiotic,Globiotic,Entry,POWDER,Feed,1,FALSE,TRUE,FALSE,Early-Life & Young-Animal Support,Early-life gut instability · Weaning stress · Poor intestinal development,Early gut protection · Microbiota establishment · Intestinal support,Immunity · Nutrient absorption · Weight gain · Livability,Cover all spaces before it is too late,"Globiotic is a calf start powder of immunoglobulins with vitamins, beta-carotene, organic iron and selenium plus Enterococcus faecium, special for combining passive gut-barrier antibodies with early lactic-acid flora.","Globiotic is the ideal start drink for newborn calves, as it supplies the immunoglobulins needed for the passive immunity. Once immunoglobulins enter the gut, they help to create a barrier against bacterial colonization or viral penetration. This protects the villi formation and digestion, preparing animals for growth and weight gain. With the help of vitamins, ß-Carotene, organic bound iron, selenium and Enterococcus faecium, a strong body-own immunity is ensured.","Protects intestinal mucosa against transient pathogens · Improves resistance and livability · Optimizes the absorption of nutrients, thus increasing weight gain · ß-Carotene supports the formation of an active immune system · Lactic-acid bacteria promote a healthy intestinal flora · Overall better performance from early stage until weaning","1 kg aluminum bags, 2.5 kg buckets, 10 kg and 25 kg craft bags",globiotic
tannifit-plus,TanniFit Plus,Entry,LIQUID,Health,,FALSE,FALSE,TRUE,Early-Life & Young-Animal Support,Young-animal intestinal disturbance · Digestive stress,Gut protection · Digestive-function support · Young-animal intestinal support,Appetite · Microbial balance · Inflammation support,Make your little ones fit again,"TanniFit Plus is a liquid botanical of tannins with thyme and oregano essential oils, special for astringent mucosa protection plus Gram-positive and Gram-negative antimicrobial oils in a pump-dose form for suckling animals.","TanniFit Plus is a dietary complementary feed with botanical ingredients in order to stabilize water and electrolyte balance to support a physiological digestion in the early life of suckling piglets, lambs and goat kids. The tannin-rich formula has astringent and anti-inflammatory effects on the gut mucosa. Essential oils of Thyme and Oregano are well-known for their antimicrobial effects on Gram+ and Gram- bacteria, anti-fungal effects, as well as their potential to reduce oxidative stress. The combination of these botanical ingredients might stimulate the appetite during suckling phase.",Quick regulation of intestinal disturbances · A protected digestive tract · Anti-inflammatory and antimicrobial effects · Reduction of pathogen pressure · Quickly and easily applicable with a doser,250 ml and 500 ml bottles with special pump applicator available (per 6 bottles an applicator is supplied),tannifit-plus
tannifit-plus-dry,TanniFit Plus Dry,Entry,WSP,Health,,FALSE,TRUE,FALSE,Gut Health & Digestion,Intestinal disturbance · Loose droppings · Young-animal digestive stress,Gut protection · Digestive support · Intestinal-function support,Appetite · Microbial-balance support · Antioxidant support,Bring the digestive system back on track,"TanniFit Plus Dry is a water-soluble botanical of tannins with oregano essential oil, special for astringent, anti-inflammatory and antimicrobial action in a dry form for calves and lambs.","TanniFit Plus Dry is a complementary feed with botanical ingredients in order to stabilize water and electrolyte balance to support a physiological digestion in the early life of calves and lambs. The tannin-rich formula has astringent and anti-inflammatory effects on the gut mucosa. Essential oil of Oregano is well-known for its anti-inflammatory, antimicrobial and anti-fungal effects as well as its potential to reduce oxidative stress. The combination of these botanical ingredients might stimulate the appetite in challenging times.",Quick regulation of intestinal disturbances · Anti-inflammatory and antimicrobial effects · A protected digestive tract · Reduction of pathogen pressure,"1 kg alu bag, 5 kg bucket, 20 kg alu bags",tannifit-plus-dry
vital-x,Vital-X,Entry,LIQUID,Farm,,TRUE,TRUE,FALSE,Vitamin & Nutritional Support,Vitamin/amino-acid deficiency · Stress · General performance decline,Vitamin + amino-acid supplementation · Nutritional support,Immunity · Fertility · Appetite · Stress resistance,All-in-one formula,"Vital-X is a liquid vitamin- and amino-acid-rich composition, special as an all-in-one nutritional mix for cell formation, fertility and stress when production must hold.","Vital-X is a vitamin and amino acid rich composition designed to promote resistance to infections and provide, growth and fertility. Livestock treated with Vital-X are less sensitive to stress (e.g. due to heat or overcrowded housing) and the appetite remains unaffected, keeping up the production parameters.","Prevention of nutritional deficiencies and of their consequences · Provides necessary elements for cell formation and metabolism · Helps to maintain production parameters, appetite and growth in case of diseases · Replaces losses caused by stress factors","250 ml, 500 ml, 1 l bottle 5 l and 25 l canister",vital-x
zincotin,Zincotin,Entry,LIQUID,Health,,TRUE,FALSE,FALSE,"Skin, Hoof & Feather Quality",Zinc deficiency · Poor skin/hoof/feather quality · Fertility/immunity pressure,Organic-zinc support · Skin/hoof/feather integrity · Fertility/immunity support,Hatchability · Bone health · Appetite · Antioxidant support,Organic performance,"Zincotin is a liquid of organic zinc with biotin and calcium pantothenate, special because chelated zinc is more bioavailable than inorganic zinc and the B-vitamins back cell growth in skin, hoof and feather.","Zincotin® contains organic Zinc, which offers many advantages in comparison with inorganic zinc, due to its high bioavailability. Zincotin® is a useful tool to decrease skin and fertility disorders. Th is activity, besides decrease organic Zinc, is supported by Biotin and Calcium pantothenate, important for proper cell growth and metabolism.","Optimized body own resistance · Improved fertility and hatchability · Better immunity · Enhanced skin, bone, feather and hoof condition · Healthy appetite · Protection against oxidative stress","250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",zincotin
vitamin-ad3eck,Vitamin AD3ECK,Entry,LIQUID,Farm,,TRUE,TRUE,FALSE,Vitamin & Nutritional Support,Vitamin deficiency · Growth/reproductive stress,Vitamin A/D3/E supplementation · Nutritional support,Fertility · Immunity · Growth · Hatchability,,"Vitamin AD3ECK is a liquid fat-soluble vitamin blend of A, D3 and E (AD3ECK formula), special as a concentrated nutritional support for growth, immunity, fertility and hatchability.",,,,
x-cid-plus,X-Cid Plus,Entry,LIQUID,Farm,,TRUE,FALSE,TRUE,Water Quality & Hygiene,High water pH · Poor water hygiene · Microbial pressure in water,Water acidification · pH management · Water-hygiene support,Chlorination efficiency · Disinfection support,More than pH,"X-Cid Plus is a liquid drinking-water acidifier, special because it both lowers water pH against bacteria and raises free chlorine when used with chlorination.","X-Cid Plus is a cutting-edge solution designed to enhance water hygiene by offering robust protection against bacterial contamination. One of its key functionalities is the effective reduction of water pH, creating a hostile environment to harmful bacteria. When X-Cid Plus is used in conjunction with chlorine, it synergistically boosts the concentration of free chlorine in the water. This enhancement significantly improves the efficacy of disinfection processes, ensuring that the water remains cleaner and safer for use. By optimizing the disinfection capability, X-Cid Plus plays a crucial role in maintaining better overall animal health.",Provides protection against bacterial contamination · Reduces water pH · Enhances free chlorine concentration when used with chlorine,1 l bottle 5 and 25 l canister,x-cid-plus
smooth-pro-calm-me,Smooth Pro (Calm Me),,LIQUID,Farm ,,TRUE,TRUE,TRUE,Stress & Recovery,Transport stress · Harvesting stress · Scratches/bruising,Calming · Carcass-quality protection · Reduced excessive movement,Skin quality · Energy saving · Lower physical damage,Naturally calming,"Smooth Pro is a liquid natural calming formula, special for reducing excessive movement so carcasses pick up fewer scratches and bruises at harvest and transport.","In broilers, excessive movements during the last few days of rearing or struggles during transport and harvest may cause scratches and bruising. This is economically significant as it causes increased mortality and higher carcass rejection at the slaughterhouse. In cattle and pigs, the reduction of excessive movement has a positive effect over body energy savings and therefore on costs of feeding.","Helps to calm animals down, avoiding excessive movements and energy waste · The calming effect helps to avoid bruising and scratches during harvest or transport · Better skin integrity and less rejections at the slaughterhouse due to skin lesions","250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",smooth-pro
turbo-grow,Turbo Grow,,POWDER,Feed,,TRUE,TRUE,TRUE,Growth & Feed Efficiency,Poor growth · Poor FCR · Low feed efficiency,Growth performance · Feed efficiency · NAGP support,Gut health · Immunity · Feed quality · Litter quality,"1 for all, all inside 1","Turbo Grow is a feed powder growth formula with high-affinity bentonite against aflatoxin and no carrier, special as a non-antibiotic growth enhancer that also preserves feed against moulds, bacteria and mycotoxins.","Turbo Grow is a synergic formulation aimed at the improvement of gut health, performance and growth for all animal species. The new era of eliminating antibiotic growth promoters relies on smart formulas such as Turbo Grow which address multiple problems in a cost-efficient way. Turbo Grow further contains the most efficient Bentonite against Aflatoxin (mycotoxins produced by two species of Aspergillus, a fungus found especially in areas with hot and humid climate). As an integral approach, Turbo Grow is the perfect choice for a non-antibiotic growth enhancer. *Formerly known as Turbo Tox, the global name of the product has been changed to Turbo Grow","“Non-antibiotic” growth promoter · Improved feed performance · Improves weight gain, egg and meat yield · Triggers intestinal nonspecific immune modulation · Feed preservative against moulds, bacteria, vectors and mycotoxins · Better litter quality · Unique product without any carrier in it",10 kg and 25 kg craft bags,turbo-grow
bacflora-br,Bacflora® BR,,POWDER,Feed,,TRUE,FALSE,TRUE,Gut Health & Digestion,Gut imbalance · Poor intestinal flora · Performance loss,Probiotic/synbiotic gut support · Microflora balance,Performance · Liver support · NAGP positioning,The Synbiotic for a perfect gut,"Bacflora BR is a feed synbiotic of a probiotic with yeast (S. cerevisiae) and chicory prebiotics plus organic acids and their salts, special for combining flora, prebiotic substrate and acid digestion in one gut formula.","In the path of animal performance, gut health is a major key to success. Bacflora® BR is the smart mixture of an efficient probiotic with two prebiotics coming from yeast (S.cerevisiae) and chicory. Probiotic and prebiotics in Bacflora® BR help to improve the animals performance and have a direct effect against the unwanted micro-organisms in the gut. Also, organic acids and the salt of the acid in Bacflora® BR are enhancing digestion and antimicrobial effect, resulting in a better feed intake as well as a healthier gut.",Helps to improve the performance of the animals · Provides probiotics to maintain a good flora in the gut · A good alternative for growth promoters · It provides hepatic support,10 kg and 25 kg craft bag,bacflora-br
growaqua,GrowAqua,,POWDER,Farm,,FALSE,FALSE,FALSE,Aquaculture Performance,Aquaculture gut problems · Poor growth · Microflora imbalance,Aquaculture gut health · Probiotic support · Growth support,Feed efficiency · Microbial balance · NAGP,Power of Probiotic & Prebiotic,"GrowAqua is an aquaculture powder of a probiotic with a Saccharomyces cerevisiae prebiotic, special as a gut-flora mix aimed at fish and shrimp instead of a drug growth promoter.",Gut health is a major key to success. GrowAqua is the smart mixture of an efficient probiotic with a prebiotic coming from the yeast (S.cerevisiae). Probiotic and prebiotic in GrowAqua help to improve animal performance and have a direct effect against the unwanted micro-organisms in the gut.,Helps to improve the performance of the fish and shrimps · Provides probiotics to maintain good flora in the gut · A good alternative to growth promoters,"1 kg, 10 kg and 25 kg craft bags",growaqua
milq,MilQ,,POWDER,Feed,,FALSE,TRUE,FALSE,Milk & Lactation Performance,Low milk production · Poor rumen function · Metabolic stress,Milk-performance support · Rumen support · Lactation support,Liver support · Energy metabolism · Vitamin-B support,"Healthy rumen, wealthy milk","MilQ is a feed powder of rumen-protected holy thistle extract, betaine, yeast fractions, calcium propionate and B-vitamins, special for linking protected liver support with rumen-microbe nutrition for milk yield.","Special rumen-protected holy thistle extract and Betaine in MilQ help to ensure proper physiological function of the liver, metabolism and milk performance. As there is a strong link between proper rumen function and udder health, MilQ is designed to support the needs for optimal rumen functions as well. Yeast components as well as Calcium propionate work as nutritional support for rumen microbes. Especially for challenging times, Vitamin-B supply is ensured.",Rumen-protected holy thistle supports liver function · Helps ensuring metabolic functioning · Supports stabilization of rumen activity · Good energy source for rumen microbes · Helps to ensure good milking performance,10 kg and 25 kg craft bags,milq
aromax-dry,Aromax® Dry,,POWDER,Feed,,TRUE,TRUE,TRUE,Respiratory Challenges,Respiratory challenge · Low feed intake linked to respiratory stress,Respiratory support · Appetite/feed-intake support,Digestion · FCR · Weight gain · Cold/humidity stress,Boost the appetite,"Aromax Dry is a feed powder of etheric eucalyptus, thyme and mint essential oils, special as the dry-form oil synergy built to lift appetite and digestion as well as the airway.","Aromax® Dry is a rich synergic combination of etheric essential oils from eucalyptus, thyme and mint in powder form. It has especially been designed to stimulate appetite, improve feed consumption, feed conversion and weight gain, while promoting a healthy gut flora and improved digestion.",Supports young animals in case of respiratory problems · Enhances appetite and supports digestion at all ages · Helps to improve weight gain and feed conversion ratio (FCR) · Provides an additional support to the respiratory system in times of challenges such as low temperatures or high relative humidity,1 kg and 20 kg alu bags,aromax-dry
calcium-top,Calcium Top,,LIQUID,Health,,FALSE,TRUE,FALSE,Early-Life & Young-Animal Support,Milk fever · Hypocalcaemia · Calcium deficiency,Rapid calcium support · Calcium replenishment,Recovery · Mineral metabolism,Stand up again,"Calcium Top is a highly concentrated liquid of bioavailable calcium and companion minerals for calcium metabolism, special for a rapid-response milk-fever formula in a high-neck bottle.","Clinical or sub-clinical hypocalcemia eventually causes loss of appetite, paralysis, lack of movement, decrease in the functioning of smooth muscles and in some cases heart failure. Calcium Top supplies the necessary amounts of calcium and other minerals that take part in the calcium metabolism. The high concentrated minerals in this special liquid formulation are highly bio-available for a quick response. The correct application is easy because of the suitable bottle shape.",Helps to prevent milk fever · Helps to reduce subclinical hypocalcemia · In cases of clinical milk fever it helps to recover quickly,500 ml high neck bottle,calcium-top
ovostrong,Ovostrong®,,POWDER,Feed,,TRUE,FALSE,FALSE,Eggshell & Egg Quality,Poor eggshell quality · Weak shells · Mineral-utilisation problems,Eggshell strength · Calcium utilisation · Layer mineral support,Phosphorus utilisation · Gut absorption · Mineral efficiency,"Good inside, tough outside","Ovostrong is a layer feed powder of marine algae meal, phytase, essential amino acids, bioavailable phosphorus, magnesium and manganese plus coated butyric acid, special for releasing grain minerals while algae calcium and butyrate absorption back eggshell.","Ovostrong® is formulated to supply all needs to support laying hens, especially in high production periods, and in older ages after week 40. The combination of marine algae meal, phytase, essential amino acids, highly bioavailable minerals such as phosphorous, magnesium, manganese, and finally coated butyric acid cover all requirements that are needed for the optimum egg laying performance. In Breeders this has a positive effect diminishing hidden eggshell cracks and supporting hatchability rates.","Marine algeal meal contains calcium and magnesium as well as trace elements in a high available form. This increases the eggshell quality · Butyric acid increases the villus proliferation in the small intestine. This ensures absorption · Provides minerals that take part in egg shell formation · High quality phytase eliminates phytic acid, releasing all available calcium and phosphorus from grains",10 kg and 25 kg craft bags,ovostrong
vital-bee,Vital Bee,,LIQUID,Farm,,FALSE,FALSE,FALSE,Vitamin & Nutritional Support,Poor bee nutrition · Low colony productivity · Brooding demand,Bee nutrition · Protein/amino-acid/vitamin support · Brooding support,Energy · Feed attractiveness · Environmental-stress support,Bee productive,"Vital Bee is a ready-to-use liquid of vitamins, energy and organic amino acids from hydrolysed soy protein, special for bee-attractive taste plus bioavailable protein for brooding.","Vital Bee is a ready to use vitamin, protein and energy solution for bees in production. Organic source amino acids from hydrolyzed soy protein are easily bioavailable for better performance. The balanced vitamin combination helps to support bees for external conditions. The aroma and taste of Vital Bee are attractive for bees, supporting the intake.","Ready-to-use vitamin, protein and amino acid rich mixture · Supports higher brooding and provides energy · Attractive taste for bees","250 ml, 500 ml and 1 l bottle, 5 l and 25 l canister",vital-bee
